task_id,task_name,company,order_name,campaas,campaas_1,bu,bu_1,currency,amount_untaxed,fecha_pub,fecha_estimada,importe_linea
29888,Martu Ortiz (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR04003,False,Campañas,False,ZAS ARGENTINA,USD,4000.0,2026-05-08 14:00:00,False,500.0
29704,Juli Bianco (Replica Tik Tok),NEXT STEP ADVERTISING S.R.L.,AR03895,False,Campañas,False,ZAS ARGENTINA,USD,2700.0,2026-05-07 14:00:00,False,550.0
29685,Domi Faena (Reel Collab),NEXT STEP ADVERTISING S.R.L.,AR03816,False,Campañas,False,ZAS ARGENTINA,ARS,6500000.0,2026-05-14 14:00:00,False,6500000.0
29679,La Casita Pinterest (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03958,False,Campañas,False,ZAS ARGENTINA,ARS,1500000.0,2026-05-11 12:00:00,False,700000.0
28123,Maxi Sieghart (Conducción),NEXT STEP ADVERTISING S.R.L.,AR03583,False,Campañas,False,ZAS ARGENTINA,ARS,10800000.0,2026-03-31 17:00:00,False,1200000.0
27166,Juli Bianco (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03594,False,Campañas,False,ZAS ARGENTINA,ARS,1400000.0,False,False,150000.0
25640,Domi Faena (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03195,False,Campañas,False,ZAS ARGENTINA,ARS,8000000.0,2026-02-24 15:00:00,False,1400000.0
24398,Kiari Hernandez (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03428,False,Campañas,False,ZAS ARGENTINA,ARS,1200000.0,2026-02-27 13:00:00,False,1200000.0
23363,Juli Bianco (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03206,False,Campañas,False,ZAS ARGENTINA,ARS,0.0,2026-01-26 15:00:00,False,0.0
18324,Fino y Elegante (Contenido para pauta),NEXT STEP ADVERTISING S.R.L.,AR03019,False,Campañas,False,ZAS ARGENTINA,ARS,1450000.0,2026-01-05 15:00:00,False,1450000.0
17942,Delfi Peña (Presencia),NEXT STEP ADVERTISING S.R.L.,AR02891,False,Campañas,False,ZAS ARGENTINA,ARS,500000.0,2025-12-04 17:00:00,False,100000.0
17938,Martu Ortiz (Historia Instagram 1),NEXT STEP ADVERTISING S.R.L.,AR02999,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,2025-12-18 17:00:00,False,1500000.0
29710,Juli Bianco (Historia Instagram) 2,NEXT STEP ADVERTISING S.R.L.,AR03961,False,Campañas,False,ZAS ARGENTINA,ARS,2610000.0,2026-05-15 14:00:00,False,600000.0
29701,Juli Bianco (Historia Instagram) 1,NEXT STEP ADVERTISING S.R.L.,AR03895,False,Campañas,False,ZAS ARGENTINA,USD,2700.0,2026-05-12 14:00:00,False,350.0
29678,La Casita Pinterest (Historia Instagram) 2,NEXT STEP ADVERTISING S.R.L.,AR03958,False,Campañas,False,ZAS ARGENTINA,ARS,1500000.0,2026-05-13 14:00:00,False,400000.0
29253,Maxi Sieghart (Conducción) 7,NEXT STEP ADVERTISING S.R.L.,AR03583,False,Campañas,False,ZAS ARGENTINA,ARS,10800000.0,False,2026-09-28 14:00:00,1200000.0
